id	datum	kutyaid	razas	vakarozas	ugatas	kaloria	alvas
636	2022.08.16	13	0	1	2	1164	91
637	2022.05.21	3	0	1	5	1173	96
638	2022.08.17	2	1	1	2	1589	92
639	2022.06.14	7	0	0	3	871	88
640	2022.07.08	7	0	0	4	1713	86
641	2022.07.21	14	0	1	4	1278	80
642	2022.05.25	2	0	0	4	1499	89
643	2022.05.21	6	0	1	8	1454	90
644	2022.06.19	7	0	0	3	1391	88
645	2022.08.06	10	0	1	8	1797	85
646	2022.06.22	2	0	0	4	1600	89
647	2022.07.19	3	0	0	3	1135	96
648	2022.08.18	7	0	0	4	1385	89
649	2022.06.15	13	0	0	8	1246	85
650	2022.07.27	6	0	0	12	1587	89
651	2022.07.31	12	0	0	9	1784	90
652	2022.08.26	11	0	0	3	1485	88
653	2022.06.14	13	0	1	10	1261	95
654	2022.07.28	7	0	0	2	1146	87
655	2022.07.25	7	0	0	2	1425	80
656	2022.05.19	2	0	0	1	1775	93
657	2022.05.27	12	0	1	5	1654	91
658	2022.06.10	13	0	0	3	1179	93
659	2022.08.11	2	0	0	1	1696	91
660	2022.07.01	11	1	0	3	1339	88
661	2022.07.14	3	0	1	1	1184	94
662	2022.07.08	5	1	0	3	1571	84
663	2022.07.05	2	0	0	1	1265	89
664	2022.07.19	5	0	0	3	1279	87
665	2022.05.11	9	0	0	0	977	95
666	2022.08.09	6	0	0	11	1783	94
667	2022.05.02	1	0	0	5	1171	92
668	2022.06.17	2	0	0	0	1791	93
669	2022.08.14	9	0	0	5	1481	93
670	2022.05.20	3	1	0	6	898	94
671	2022.08.30	12	0	0	3	1145	80
672	2022.05.18	10	0	0	2	2000	89
673	2022.05.21	2	0	0	0	1568	89
674	2022.07.11	12	0	0	10	1847	92
675	2022.06.21	10	0	0	1	1348	89
676	2022.06.24	12	1	0	6	1113	87
677	2022.06.13	8	0	1	10	1302	90
678	2022.05.18	12	0	0	6	1547	90
679	2022.06.06	14	0	0	4	1110	87
680	2022.07.08	12	0	0	9	1748	90
681	2022.08.31	3	0	1	2	1072	91
682	2022.06.16	3	0	0	2	752	96
683	2022.05.27	13	0	0	3	1869	92
684	2022.07.20	12	0	1	4	1711	83
685	2022.08.13	7	0	0	3	1400	81
686	2022.08.21	2	0	0	3	1702	89
687	2022.06.21	1	0	0	10	1399	96
688	2022.07.08	13	0	1	6	1256	93
689	2022.07.26	10	1	0	8	1423	85
690	2022.07.10	6	0	0	11	1583	94
691	2022.07.11	9	0	0	4	1345	98
692	2022.08.14	6	0	1	10	1149	92
693	2022.08.29	6	0	0	7	1509	92
694	2022.05.24	2	0	1	4	1143	93
695	2022.08.04	11	1	0	5	1010	88
696	2022.05.07	5	0	0	3	1206	90
697	2022.07.01	5	0	0	2	1333	91
698	2022.05.11	1	0	0	4	1296	92
699	2022.07.11	5	0	1	2	1338	85
700	2022.06.13	9	0	0	4	1679	98
701	2022.07.26	3	0	0	1	1079	94
702	2022.08.27	6	0	0	11	1654	94
703	2022.06.10	9	0	0	0	1331	95
704	2022.08.19	6	0	0	6	1733	89
705	2022.07.16	5	0	0	3	1050	90
706	2022.07.12	8	0	0	4	2012	87
707	2022.04.27	1	0	0	9	1275	92
708	2022.06.18	6	0	1	12	1795	91
709	2022.07.27	11	0	0	3	1294	86
710	2022.06.19	10	0	0	9	1670	79
711	2022.05.18	2	1	0	0	1112	89
712	2022.07.11	10	0	1	4	1820	88
713	2022.07.30	11	0	0	3	1514	87
714	2022.06.30	13	0	1	9	1140	93
715	2022.07.11	11	0	0	4	1400	82
716	2022.08.18	3	0	0	2	1138	93
717	2022.07.24	7	0	0	2	1389	89
718	2022.08.17	1	0	1	7	1157	96
719	2022.06.18	5	0	0	3	1647	91
720	2022.06.30	11	0	0	5	1378	89
721	2022.05.29	8	0	0	11	1471	86
722	2022.07.15	8	0	0	8	1448	79
723	2022.07.05	9	0	0	0	1388	97
724	2022.07.05	7	0	0	2	1071	87
725	2022.07.26	12	0	0	4	1220	87
726	2022.07.01	12	0	0	9	1620	90
727	2022.07.10	3	1	0	5	1005	91
728	2022.08.02	9	0	1	4	1411	98
729	2022.07.05	6	1	0	10	1723	85
730	2022.07.09	8	0	0	10	1461	81
731	2022.07.21	7	0	1	2	1289	83
732	2022.08.11	7	0	1	4	1103	79
733	2022.06.03	9	0	0	6	1312	86
734	2022.08.17	13	0	0	3	1719	93
735	2022.08.15	12	0	1	8	1599	92
736	2022.07.30	7	0	0	4	1246	90
737	2022.06.08	1	0	1	4	1160	90
738	2022.06.04	13	0	0	4	1200	90
739	2022.08.05	11	0	0	4	1527	86
740	2022.06.16	5	0	0	2	1629	90
741	2022.06.04	12	0	0	6	1767	87
742	2022.05.18	6	0	0	5	1635	90
743	2022.06.20	3	0	0	2	969	94
744	2022.06.11	14	0	0	6	801	91
745	2022.07.22	14	1	0	4	1159	92
746	2022.07.13	9	0	0	5	1414	89
747	2022.08.14	4	0	0	4	1753	86
748	2022.08.16	1	1	0	11	1182	89
749	2022.08.06	8	1	0	11	1714	85
750	2022.07.16	6	0	0	8	1643	89
751	2022.05.14	1	0	0	9	1430	94
752	2022.05.31	3	0	0	3	1151	89
753	2022.05.05	5	0	1	2	1443	89
754	2022.06.09	6	1	0	10	1750	89
755	2022.07.26	1	0	0	7	956	97
756	2022.06.02	6	0	0	12	2075	90
757	2022.07.12	13	0	1	4	1212	91
758	2022.07.13	12	0	1	5	1457	91
759	2022.08.05	3	1	0	4	1182	91
760	2022.07.10	11	0	1	4	1522	87
761	2022.07.23	14	1	0	4	1107	85
762	2022.06.07	5	0	0	2	1534	88
763	2022.05.30	8	1	0	7	1644	90
764	2022.07.18	3	0	0	4	918	94
765	2022.08.12	2	0	0	2	1498	93
766	2022.06.06	3	0	0	6	1064	90
767	2022.06.01	3	0	1	6	1179	96
768	2022.08.05	4	0	0	8	1737	81
769	2022.06.01	7	1	1	4	860	83
770	2022.08.14	1	0	1	10	1242	94
771	2022.07.13	13	1	0	5	1415	89
772	2022.08.15	7	0	0	3	1302	87
773	2022.06.29	5	0	0	3	1893	90
774	2022.05.16	10	0	0	4	1395	85
775	2022.08.05	12	1	0	6	1524	92
776	2022.08.07	6	0	0	9	1485	94
777	2022.08.31	5	0	0	2	1679	87
778	2022.08.28	9	0	1	4	1359	97
779	2022.07.12	10	1	0	7	2132	85
780	2022.08.18	11	0	0	5	1377	87
781	2022.08.15	4	0	0	8	1442	79
782	2022.06.21	8	0	0	8	1512	87
783	2022.08.12	6	0	0	9	1917	93
784	2022.08.15	3	0	1	5	1154	91
785	2022.07.11	14	0	1	7	1024	88
786	2022.08.19	12	0	0	6	1150	91
787	2022.07.23	12	0	0	3	1746	82
788	2022.05.17	1	1	0	4	1113	94
789	2022.08.28	1	1	0	9	1325	97
790	2022.06.17	6	0	0	11	1779	91
791	2022.08.24	7	0	1	2	1109	85
792	2022.08.05	8	0	1	6	1723	89
793	2022.07.02	10	0	0	3	1901	89
794	2022.08.22	1	0	0	6	1040	95
795	2022.07.17	9	0	0	6	1487	94
796	2022.06.01	12	0	1	6	1593	86
797	2022.06.26	5	0	0	2	1690	82
798	2022.07.19	2	0	0	2	1628	93
799	2022.08.06	1	0	0	10	1371	92
800	2022.07.18	14	0	0	4	1065	90
801	2022.08.18	12	0	0	5	1578	84
802	2022.06.14	8	0	0	10	1520	86
803	2022.07.10	10	0	0	1	2060	85
804	2022.08.08	10	0	0	4	1292	86
805	2022.08.30	10	0	0	1	2102	89
806	2022.08.28	7	0	0	4	1421	90
807	2022.07.13	11	0	0	4	1028	90
808	2022.07.30	5	0	1	3	1420	89
809	2022.06.24	7	0	0	2	953	89
810	2022.07.21	1	0	0	4	1310	91
811	2022.08.10	5	1	0	1	1590	90
812	2022.07.31	1	0	1	11	1005	97
813	2022.08.29	11	0	0	5	1092	78
814	2022.05.13	5	0	0	3	1658	88
815	2022.06.10	7	0	0	3	1450	85
816	2022.07.10	1	0	0	6	1158	90
817	2022.06.11	10	1	0	5	1592	87
818	2022.05.23	10	1	0	6	1847	86
819	2022.07.17	1	0	0	10	1336	96
820	2022.06.24	13	0	1	6	1663	95
821	2022.06.12	7	1	0	3	1145	87
822	2022.06.19	9	0	0	5	1296	94
823	2022.06.06	12	1	0	9	1480	88
824	2022.05.01	1	0	0	5	967	97
825	2022.05.28	13	0	1	7	1285	93
826	2022.06.23	14	0	1	7	1162	90
827	2022.08.02	10	0	0	9	2287	89
828	2022.08.11	10	0	0	1	2054	83
829	2022.06.03	1	1	0	3	1210	94
830	2022.07.26	7	0	0	2	1104	85
831	2022.08.03	11	0	1	4	1072	88
832	2022.06.20	2	0	0	3	1413	89
833	2022.05.17	3	0	0	5	1275	92
834	2022.07.12	14	0	0	4	1066	89
835	2022.07.15	2	0	0	1	1470	88
836	2022.07.02	8	0	0	4	1504	85
837	2022.08.01	13	0	0	3	1720	90
838	2022.05.20	2	0	0	2	1418	88
839	2022.07.06	2	0	0	0	1617	91
840	2022.07.29	2	0	0	0	1599	88
841	2022.06.17	12	0	0	4	1594	88
842	2022.06.07	13	0	1	8	1446	89
843	2022.06.24	5	0	0	3	1717	87
844	2022.05.25	5	0	0	2	1077	86
845	2022.06.26	13	0	0	6	1532	94
846	2022.08.10	8	0	1	11	1214	87
847	2022.07.30	12	0	1	4	1144	86
848	2022.06.28	13	0	0	8	1254	95
849	2022.05.31	8	1	0	9	1890	85
850	2022.08.12	13	0	0	11	1762	95
851	2022.06.22	6	0	0	8	1521	93
852	2022.05.17	6	0	1	7	1588	90
853	2022.05.19	5	0	0	2	1113	86
854	2022.07.31	13	0	0	10	1130	90
855	2022.07.03	8	1	0	7	1772	89
856	2022.08.18	4	1	0	3	1731	81
857	2022.05.07	1	0	0	3	1349	95
858	2022.07.03	7	0	0	4	908	87
859	2022.05.25	8	0	1	6	1994	79
860	2022.05.15	6	0	1	11	1699	90
861	2022.06.28	5	0	0	3	1596	89
862	2022.06.09	1	0	0	7	1310	93
863	2022.08.20	14	1	1	5	1198	88
864	2022.04.22	1	0	1	5	1214	97
865	2022.06.07	3	0	0	1	1380	94
866	2022.05.24	5	0	0	1	1710	89
867	2022.08.16	9	0	0	5	945	97
868	2022.06.20	1	0	0	10	1343	92
869	2022.08.30	11	0	0	4	1489	90
870	2022.07.29	8	0	0	6	1183	87
871	2022.08.13	11	1	0	5	1573	91
872	2022.07.27	7	0	1	2	1340	79
873	2022.08.03	2	0	0	2	1144	88
874	2022.06.22	5	0	0	2	1647	86
875	2022.06.21	12	1	0	3	1397	84
876	2022.08.25	5	0	0	1	983	91
877	2022.07.15	1	0	0	4	1239	97
878	2022.06.03	7	0	0	2	1722	86
879	2022.08.05	2	0	1	4	1638	83
880	2022.08.09	5	0	0	3	1270	91
881	2022.08.14	3	0	0	3	1115	91
882	2022.06.30	14	0	1	5	779	87
883	2022.08.06	3	0	0	4	845	84
884	2022.08.19	2	0	0	2	1595	92
885	2022.07.04	8	0	1	8	1705	90
886	2022.05.30	2	0	0	3	1527	91
887	2022.08.27	1	1	0	9	1391	95
888	2022.06.15	2	0	0	1	1549	92
889	2022.05.19	9	0	0	0	991	97
890	2022.08.02	12	1	0	6	1086	91
891	2022.05.15	1	0	0	8	1410	93
892	2022.07.29	14	0	1	5	1124	90
893	2022.06.05	8	0	1	8	1448	87
894	2022.08.31	11	0	0	3	1256	90
895	2022.08.23	11	1	0	5	1080	89
896	2022.05.13	10	0	0	6	1542	87
897	2022.06.23	8	0	0	4	1543	86
898	2022.08.30	9	0	0	4	1370	89
899	2022.08.28	8	0	1	11	1398	87
900	2022.07.27	5	0	0	2	1671	87
901	2022.05.21	5	0	0	3	1333	91
902	2022.07.29	1	1	0	6	1385	93
903	2022.08.15	5	0	0	1	1049	87
904	2022.08.29	5	0	1	2	1345	91
905	2022.08.01	6	0	0	11	1518	93
906	2022.07.22	1	0	1	4	1502	92
907	2022.05.27	1	0	0	9	1414	95
908	2022.07.27	2	0	0	0	1579	93
909	2022.08.16	14	0	0	5	1142	87
910	2022.07.09	5	0	1	3	1469	85
911	2022.08.20	5	0	0	2	1112	91
912	2022.05.14	2	0	0	3	1340	91
913	2022.06.16	7	0	1	2	1251	85
914	2022.06.24	9	1	1	3	1408	96
915	2022.07.01	7	0	0	3	1651	82
916	2022.06.03	13	0	0	5	1770	88
917	2022.06.25	5	0	1	2	1502	87
918	2022.07.07	8	0	0	8	1196	87
919	2022.07.21	5	0	0	2	1122	86
920	2022.06.17	8	0	0	9	1160	87
921	2022.05.03	5	0	0	3	1402	90
922	2022.07.15	13	0	0	4	1360	93
923	2022.07.30	6	0	0	6	1629	89
924	2022.08.17	10	0	1	5	1693	85
925	2022.08.20	7	0	0	3	1337	88
926	2022.08.29	13	0	0	4	1732	95
927	2022.07.17	6	0	0	6	1721	93
928	2022.06.26	7	0	0	3	1232	86
929	2022.07.26	5	0	0	1	1434	89
930	2022.08.13	9	0	0	6	1361	96
931	2022.06.29	9	0	1	3	1358	98
932	2022.06.16	10	1	0	3	2035	90
933	2022.08.21	14	0	0	4	1340	86
934	2022.06.07	6	0	0	10	1555	94
935	2022.06.02	9	0	0	1	1363	86
936	2022.08.10	7	0	0	2	1326	86
937	2022.07.23	1	0	1	7	1137	93
938	2022.07.16	13	0	1	4	1511	92
939	2022.08.01	3	0	0	6	1111	92
940	2022.08.02	3	0	1	0	1060	93
941	2022.08.26	10	0	0	10	1260	86
942	2022.08.13	1	0	1	9	1399	89
943	2022.08.31	4	0	0	7	1502	89
944	2022.07.01	2	1	0	1	1457	92
945	2022.08.24	10	0	1	5	1948	90
946	2022.08.28	13	0	0	4	1617	91
947	2022.07.01	9	0	0	6	1163	95
948	2022.05.19	12	0	0	7	1177	89
949	2022.08.30	14	0	1	7	1315	79
950	2022.07.27	14	1	0	4	868	91
951	2022.06.12	6	0	0	12	1537	86
952	2022.08.30	13	0	1	2	1486	92
953	2022.07.31	9	0	1	2	1462	96
954	2022.06.08	9	0	0	5	1675	93
955	2022.08.10	9	0	0	0	1294	94
956	2022.07.05	8	0	0	10	1536	89
957	2022.05.22	9	0	1	5	1191	95
958	2022.06.13	13	0	0	10	1755	95
959	2022.05.30	13	0	0	6	1117	89
960	2022.08.19	1	0	0	4	1192	96
961	2022.08.06	12	0	0	5	1122	88
962	2022.06.17	14	0	0	7	1150	81
963	2022.07.14	6	1	0	9	1632	94
964	2022.07.23	2	1	0	2	1780	91
965	2022.06.15	5	0	0	1	1752	91
966	2022.07.18	13	0	1	6	1807	93
967	2022.06.09	7	0	0	4	1366	88
968	2022.08.13	2	0	1	4	1570	93
969	2022.07.11	3	0	1	3	1190	94
970	2022.06.13	5	0	1	2	940	87
971	2022.07.18	6	0	0	11	2246	89
972	2022.06.27	11	0	0	3	1520	87
973	2022.08.19	7	0	0	3	1355	90
974	2022.06.15	1	0	0	10	1263	97
975	2022.06.22	8	1	0	6	1687	89
976	2022.07.02	13	0	0	5	1949	95
977	2022.07.04	13	0	0	6	1380	94
978	2022.07.03	10	0	0	5	1288	90
979	2022.06.27	10	1	0	4	2104	85
980	2022.08.08	13	0	1	11	1303	90
981	2022.07.20	13	0	0	2	1562	94
982	2022.06.16	9	0	0	4	1374	98
983	2022.08.12	10	0	0	7	1425	90
984	2022.07.15	6	0	1	7	2224	89
985	2022.08.16	5	1	0	2	911	89
986	2022.07.29	3	0	0	5	809	91
987	2022.08.22	9	0	0	1	1311	98
988	2022.07.16	11	1	0	3	1423	90
989	2022.08.25	2	0	0	1	1602	91
990	2022.07.04	11	0	0	3	1410	88
991	2022.07.17	3	0	1	5	1120	92
992	2022.07.20	1	0	0	9	1385	97
993	2022.07.12	11	0	0	5	1360	86
994	2022.06.27	9	0	1	5	1313	88
995	2022.04.30	1	1	0	7	1558	93
996	2022.07.26	8	0	0	4	1593	89
997	2022.08.15	10	0	0	5	1851	90
998	2022.05.16	6	0	0	5	1540	91
999	2022.06.29	11	1	0	3	1250	90
1000	2022.05.18	3	0	0	6	1138	94
1001	2022.08.11	1	1	0	7	1266	95
1002	2022.06.26	12	0	0	6	1763	88
1003	2022.06.15	8	0	0	11	1679	86
1004	2022.07.20	11	0	0	4	1379	81
1005	2022.06.03	6	0	0	11	1774	91
1006	2022.07.29	7	0	0	4	1359	87
1007	2022.08.12	8	0	0	7	1534	86
1008	2022.08.13	10	0	0	10	1628	85
1009	2022.08.04	3	0	0	3	786	95
1010	2022.05.27	5	0	1	3	1583	87
1011	2022.08.28	6	0	1	9	1514	92
1012	2022.07.31	10	0	0	9	1552	87
1013	2022.08.04	2	0	0	4	1461	93
1014	2022.06.18	14	0	0	4	1011	88
1015	2022.05.27	7	0	0	4	1178	86
1016	2022.05.04	1	0	0	8	1557	89
1017	2022.08.25	10	0	0	1	1765	89
1018	2022.06.05	10	1	0	2	1574	87
1019	2022.08.26	9	0	0	4	1023	88
1020	2022.08.12	4	0	0	6	1639	87
1021	2022.05.08	1	1	0	6	1189	94
1022	2022.06.21	2	0	1	4	1378	90
1023	2022.06.23	7	0	0	3	1282	81
1024	2022.06.23	1	0	0	10	1249	92
1025	2022.08.31	1	0	0	7	1168	93
1026	2022.07.31	2	0	0	1	1604	88
1027	2022.08.23	7	0	0	4	1189	87
1028	2022.06.02	12	0	0	8	1185	90
1029	2022.08.07	12	0	1	11	1432	89
1030	2022.08.20	13	0	1	6	1488	95
1031	2022.05.28	2	0	0	0	1398	93
1032	2022.06.06	9	0	0	2	1455	93
1033	2022.08.16	6	0	1	11	1394	92
1034	2022.05.19	6	0	0	10	1350	90
1035	2022.05.30	6	0	0	9	1543	89
1036	2022.06.29	6	0	0	12	1647	89
1037	2022.07.06	10	1	0	9	2112	83
1038	2022.07.28	9	0	0	1	1494	97
1039	2022.07.01	13	0	1	8	1358	88
1040	2022.05.28	3	0	0	2	1027	88
1041	2022.08.09	8	0	1	6	1528	85
1042	2022.08.24	5	0	0	1	1080	90
1043	2022.07.05	12	1	0	4	1319	92
1044	2022.08.07	1	0	1	6	1408	93
1045	2022.07.28	12	0	0	6	1779	92
1046	2022.08.16	12	0	0	7	1703	89
1047	2022.05.10	1	0	1	6	1216	92
1048	2022.07.03	13	0	0	5	1681	90
1049	2022.06.04	2	0	0	2	1784	93
1050	2022.07.16	8	0	0	7	1431	88
1051	2022.08.13	12	0	0	3	1915	87
1052	2022.08.02	2	0	1	3	1559	91
1053	2022.08.06	2	0	0	2	1549	92
1054	2022.08.21	7	0	1	2	1159	79
1055	2022.05.13	9	0	1	2	1349	96
1056	2022.08.08	9	0	1	3	966	95
1057	2022.07.16	2	0	0	2	1653	89
1058	2022.08.31	14	1	0	6	792	79
1059	2022.06.21	3	0	0	3	1049	92
1060	2022.07.10	8	0	0	9	1680	80
1061	2022.06.05	9	0	1	4	1614	96
1062	2022.06.29	10	0	0	3	2184	85
1063	2022.06.28	9	0	1	4	1362	97
1064	2022.06.22	12	0	1	10	1899	87
1065	2022.06.15	9	0	1	6	1441	98
1066	2022.07.11	7	0	0	2	1639	86
1067	2022.05.11	10	0	0	2	1200	89
1068	2022.06.23	5	0	1	1	1697	90
1069	2022.07.19	10	0	0	8	1471	82
1070	2022.06.23	3	0	0	6	1085	95
1071	2022.05.26	1	0	0	7	1358	94
1072	2022.06.07	8	0	0	11	1734	90
1073	2022.07.04	3	0	0	5	825	94
1074	2022.06.26	14	0	1	6	873	91
1075	2022.06.28	12	0	0	4	1633	81
1076	2022.08.08	3	0	0	4	1071	93
1077	2022.08.26	8	0	0	4	1190	86
1078	2022.08.30	2	0	1	4	1780	85
1079	2022.05.13	6	0	0	10	1764	90
1080	2022.08.17	6	0	0	11	1601	91
1081	2022.08.30	6	0	0	5	1725	94
1082	2022.08.21	3	0	0	2	1153	92
1083	2022.08.30	5	0	0	2	1322	90
1084	2022.06.28	2	0	0	3	1330	92
1085	2022.08.24	14	0	0	6	895	79
1086	2022.08.20	8	0	0	7	1787	89
1087	2022.08.31	2	0	0	3	1133	92
1088	2022.08.09	10	0	1	8	1640	86
1089	2022.07.03	3	0	1	3	789	92
1090	2022.08.17	7	0	0	2	1752	85
1091	2022.08.26	14	0	0	5	1014	87
1092	2022.06.19	14	1	0	7	1093	91
1093	2022.07.08	8	0	0	4	1333	86
1094	2022.07.19	1	0	0	3	1075	88
1095	2022.06.21	6	0	0	11	1094	92
1096	2022.05.17	2	0	0	4	1420	90
1097	2022.06.26	1	1	0	4	1401	89
1098	2022.06.05	13	0	0	10	1757	95
1099	2022.07.17	2	0	0	4	1420	93
1100	2022.07.10	7	0	1	2	1192	89
1101	2022.07.15	11	0	0	4	1473	86
1102	2022.08.03	9	0	1	3	962	95
1103	2022.07.16	9	0	1	3	1245	85
1104	2022.05.25	1	0	0	8	1233	96
1105	2022.08.07	7	0	0	2	1092	90
1106	2022.05.27	3	0	0	5	1165	96
1107	2022.08.17	12	0	0	4	1347	89
1108	2022.06.24	6	0	0	9	1565	91
1109	2022.05.22	12	0	0	11	1723	87
1110	2022.07.26	9	0	0	5	1400	96
1111	2022.05.10	9	0	0	2	1445	89
1112	2022.06.09	10	0	0	10	1574	85
1113	2022.07.01	6	0	0	8	1495	90
1114	2022.07.14	1	0	1	3	1374	94
1115	2022.08.28	10	0	0	9	2099	87
1116	2022.05.28	6	0	0	6	1568	92
1117	2022.06.11	3	0	0	2	1329	95
1118	2022.05.01	5	0	0	3	1427	88
1119	2022.08.06	7	0	0	3	981	90
1120	2022.08.09	3	0	0	1	1131	96
1121	2022.08.10	12	0	0	7	1272	92
1122	2022.08.25	14	1	0	7	805	89
1123	2022.08.15	8	0	0	4	1197	90
1124	2022.07.04	7	1	0	3	1285	90
1125	2022.06.12	10	0	0	4	1202	79
1126	2022.07.11	6	0	0	11	1673	86
1127	2022.05.21	12	0	0	4	1329	90
1128	2022.08.02	6	0	0	11	1505	94
1129	2022.06.04	10	0	0	8	1659	86
1130	2022.06.15	3	0	0	2	1199	95
1131	2022.08.25	4	0	1	8	1809	88
1132	2022.08.13	8	0	0	10	1498	89
1133	2022.08.24	13	1	1	9	1655	80
1134	2022.05.14	6	0	0	5	1125	83
1135	2022.08.01	14	1	0	6	1316	88
1136	2022.05.27	9	0	1	6	1154	96
1137	2022.08.17	14	0	1	4	1254	87
1138	2022.06.28	11	0	0	3	1351	85
1139	2022.08.25	9	0	0	6	1401	97
1140	2022.05.27	6	0	1	7	1275	89
1141	2022.06.08	7	0	0	3	1225	85
1142	2022.07.13	7	1	1	2	1270	85
1143	2022.05.31	1	0	1	10	1181	80
1144	2022.08.10	10	1	0	2	1821	86
1145	2022.07.02	6	0	0	11	1217	90
1146	2022.05.03	1	0	0	11	1224	94
1147	2022.07.18	12	0	0	8	1082	90
1148	2022.06.23	6	0	0	11	1478	94
1149	2022.05.10	2	0	0	3	1560	90
1150	2022.06.29	2	0	0	2	1246	88
1151	2022.07.19	7	0	0	2	1694	82
1152	2022.07.12	1	0	1	4	1335	92
1153	2022.07.23	13	0	0	4	1775	94
1154	2022.08.05	5	0	1	1	967	87
1155	2022.06.27	7	1	0	4	1336	80
1156	2022.05.20	1	1	0	11	1120	93
1157	2022.08.07	8	0	0	4	1247	85
1158	2022.06.18	9	0	0	5	1313	93
1159	2022.07.07	1	0	0	10	1370	96
1160	2022.06.03	10	0	0	7	1452	86
1161	2022.05.30	3	0	0	0	1180	93
1162	2022.08.24	1	0	0	8	1239	80
1163	2022.08.26	4	0	0	3	1540	88
1164	2022.06.12	9	0	1	6	1163	96
1165	2022.06.19	2	0	0	0	1917	90
1166	2022.06.27	1	0	0	10	1091	94
1167	2022.08.10	1	0	0	6	1177	95
1168	2022.07.24	5	0	0	2	1435	89
1169	2022.08.21	4	0	0	7	1797	84
1170	2022.07.07	2	1	1	3	1484	90
1171	2022.07.27	10	0	0	2	2247	85
1172	2022.06.26	10	1	0	8	1931	81
1173	2022.07.22	2	0	0	4	1504	91
1174	2022.07.20	10	0	0	8	1389	87
1175	2022.07.25	8	0	0	11	1387	88
1176	2022.05.14	10	0	0	10	1522	86
1177	2022.07.03	12	0	0	7	1664	84
1178	2022.08.27	2	0	0	3	1562	88
1179	2022.04.21	1	0	0	7	1183	85
1180	2022.08.21	5	0	0	1	1583	84
1181	2022.08.12	14	0	1	6	1188	83
1182	2022.07.16	1	0	0	11	1346	85
1183	2022.08.21	9	0	0	2	1268	88
1184	2022.08.09	12	0	1	4	1795	88
1185	2022.07.02	14	0	0	4	892	87
1186	2022.07.10	2	0	0	0	1271	88
1187	2022.06.03	5	0	0	1	1672	91
1188	2022.07.31	14	0	0	5	1188	92
1189	2022.06.17	3	0	0	5	1186	93
1190	2022.06.07	14	1	0	5	1092	80
1191	2022.08.22	7	0	0	3	1283	90
1192	2022.08.28	5	0	0	2	1276	88
1193	2022.08.14	10	0	0	3	1544	90
1194	2022.08.01	11	1	0	5	1365	88
1195	2022.05.18	5	1	0	3	1516	90
1196	2022.07.25	9	0	0	1	1328	98
1197	2022.06.09	3	0	0	6	1019	91
1198	2022.05.28	1	1	0	7	1422	92
1199	2022.08.10	13	0	0	7	1642	87
1200	2022.08.19	14	0	0	6	1149	91
1201	2022.05.16	5	0	0	3	1723	89
1202	2022.05.11	2	0	0	2	1502	90
1203	2022.05.14	9	0	0	0	956	97
1204	2022.05.31	9	0	0	5	1126	89
1205	2022.06.12	13	0	0	6	1492	87
1206	2022.08.02	8	0	1	8	1733	78
1207	2022.08.04	10	0	1	6	1551	86
1208	2022.08.15	9	0	0	1	1481	96
1209	2022.07.12	2	0	1	1	1479	90
1210	2022.05.31	10	1	0	2	1634	86
1211	2022.08.12	3	1	0	0	832	81
1212	2022.08.27	12	0	0	10	1106	91
1213	2022.06.28	1	0	0	3	1318	90
1214	2022.07.28	11	0	0	5	1265	80
1215	2022.06.10	14	0	0	5	1044	89
1216	2022.04.29	1	0	0	11	971	93
1217	2022.06.14	9	0	0	5	1268	97
1218	2022.07.05	5	0	0	1	1543	89
1219	2022.07.13	8	0	0	10	1682	89
1220	2022.06.11	2	0	0	4	1523	85
1221	2022.06.30	7	0	1	2	991	88
1222	2022.07.05	13	0	1	3	1465	88
1223	2022.07.31	7	0	0	3	1190	85
1224	2022.07.15	7	0	0	2	963	86
1225	2022.08.26	7	1	1	3	1320	86
1226	2022.06.02	3	0	0	2	1073	93
1227	2022.06.02	5	0	1	2	1869	88
1228	2022.08.21	6	0	0	11	1170	82
1229	2022.05.04	5	0	0	3	1226	90
1230	2022.08.21	13	0	0	10	1733	81
1231	2022.08.26	6	1	1	9	1332	94
1232	2022.08.10	3	0	0	1	1112	92
1233	2022.08.23	8	0	0	8	1726	90
1234	2022.05.25	9	0	0	4	937	93
1235	2022.05.28	8	0	0	6	1746	90
1236	2022.06.12	2	1	0	0	1687	90
1237	2022.05.25	3	0	1	3	1464	94
1238	2022.05.26	9	1	1	6	1472	97
1239	2022.05.17	7	0	0	4	1793	86
1240	2022.08.27	10	0	0	5	1173	85
1241	2022.06.13	14	0	0	7	1349	88
1242	2022.06.06	6	0	0	10	1677	90
1243	2022.07.22	10	0	0	6	1742	86
1244	2022.08.07	13	0	0	8	1559	94
1245	2022.08.27	4	0	0	6	1212	89
1246	2022.06.04	14	0	1	5	1234	87
1247	2022.06.29	3	0	1	0	1007	93
1248	2022.08.26	3	0	0	1	1135	96
1249	2022.06.11	9	0	0	4	1173	97
1250	2022.05.15	9	0	0	1	1242	96
1251	2022.08.11	3	0	0	1	862	95
1252	2022.05.24	9	1	1	5	1234	96
1253	2022.08.17	11	0	1	3	1490	89
1254	2022.08.15	2	0	0	4	1698	91
1255	2022.06.16	2	0	0	1	1609	90
1256	2022.08.31	7	0	1	3	1365	88
1257	2022.07.20	7	0	1	3	895	86
1258	2022.05.28	7	0	0	4	1361	89
1259	2022.05.12	9	0	0	0	1144	95
